"site","date","flux"
"X14",2011-11-03,205.833333332
"X14",2011-11-18,315.580297358
"X14",2011-11-30,25.195029325
"X14",2011-12-01,34.684743958
"X14",2012-01-15,107.612516341
"X14",2012-01-19,105.829368782
"X14",2012-01-20,41.934711703
"X14",2012-02-29,96.493140897
"X14",2012-03-01,68.792307118
"X14",2012-03-06,72.939318465
"X14",2012-03-12,125.534240676
"X14",2012-03-13,57.631437442
"X14",2012-03-31,157.734912732
"X14",2012-04-23,57.838266673
"X14",2012-04-26,186.686026147
"X14",2012-05-14,66.587304236
"X14",2012-05-17,22.243296491
"X14",2012-05-24,12.635767634
"X14",2012-05-25,10.123551609
"X14",2012-06-04,260.496432588
"X14",2012-06-23,39.224518881
"X14",2012-06-24,27.057245579
"X14",2012-06-25,149.510802413
"X14",2012-09-08,11.247057193
"X14",2012-10-22,50.317130585
"X14",2012-10-23,15.749723033
"X14",2012-11-08,409.404733636
"X14",2012-11-17,13.329634195
"X14",2012-11-28,50.395744165
"X14",2012-11-29,330.483325199
"X14",2012-12-21,103.199605027
"X14",2012-12-23,34.497452161
"X14",2013-03-05,20.638976649
"X14",2013-03-06,16.653779602
"X14",2013-04-07,10.971513232
"X14",2013-04-14,27.811271493
"X14",2013-04-15,17.306958869
"X14",2013-06-10,48.978102188
"X14",2013-08-20,43.986204688
"X14",2013-09-21,73.28307133
"X14",2013-10-27,172.926321112
"X14",2013-10-28,12.726271525
"X14",2014-03-29,69.238432834
"X14",2014-04-22,21.065268656
"X14",2014-05-18,11.740331496
"X14",2014-06-10,32.292817683
"X14",2014-09-25,49.75212465
"X14",2014-10-25,143.318997134
"X14",2014-10-31,30.428200691
"X14",2014-11-22,259.393909153
"X14",2014-11-28,90.868489939
"X14",2014-12-10,112.690581593
"X14",2014-12-11,347.75261285
"X14",2014-12-24,19.807023054
"X14",2014-12-29,14.19970595
"X14",2015-02-05,122.251512999
"X14",2015-02-06,240.624011775
"X14",2015-02-08,15.703751164
"X14",2015-04-05,157.869214696
"X14",2015-04-07,43.462949097
"X14",2015-04-13,56.80741551
"X14",2015-04-14,143.579423642
"X14",2015-05-12,75.713908291
"X14",2015-05-13,23.765021737
"X14",2015-05-31,13.132352946
"X14",2015-11-15,91.290947585
"X14",2015-11-24,131.790931631
"X14",2015-12-03,63.40571269
"X14",2015-12-06,64.401613934
"X14",2015-12-10,130.795030348
"X14",2015-12-13,113.532742099
"X15",2011-02-15,115.556441083
"X15",2011-02-16,54.886631708
"X15",2011-03-10,239.508008229
"X15",2011-03-15,95.184426466
"X15",2011-03-18,13.732070033
"X15",2011-04-20,25.835779485
"X15",2011-04-25,94.974273168
"X15",2011-04-28,38.58014162
"X15",2011-05-14,34.248573964
"X15",2011-05-15,52.803401119
"X15",2011-05-25,735.72687069
"X15",2011-05-28,158.249121523
